,Local,Área plantada (Hectares),Área colhida (Hectares),Quantidade produzida (Toneladas),Rendimento médio da produção (Quilogramas por Hectare),Valor da produção (Mil Reais)
61,Rondon,22602.0,22602.0,..,..,119773.0
62,São Manoel do Paraná,6642.0,6642.0,..,..,39257.0
63,São Tomé,13890.0,13890.0,..,..,78962.0
64,Tapejara,22669.0,22669.0,..,..,122701.0
65,Tuneiras do Oeste,30818.0,30818.0,..,..,179458.0
66,Centro Ocidental Paranaense,1233091.0,1232768.0,..,..,9188079.0
67,Goioerê,517673.0,517649.0,..,..,4066848.0
68,Altamira do Paraná,3587.0,3587.0,..,..,26768.0
69,Boa Esperança,40306.0,40306.0,..,..,318000.0
70,Campina da Lagoa,60385.0,60385.0,..,..,468937.0
71,Goioerê,57264.0,57264.0,..,..,432077.0
72,Janiópolis,36456.0,36432.0,..,..,239704.0
73,Juranda,55731.0,55731.0,..,..,440152.0
74,Moreira Sales,24241.0,24241.0,..,..,158565.0
75,Nova Cantu,44307.0,44307.0,..,..,369798.0
76,Quarto Centenário,51915.0,51915.0,..,..,438364.0
77,Rancho Alegre D'Oeste,37051.0,37051.0,..,..,288485.0
78,Ubiratã,106430.0,106430.0,..,..,885996.0
79,Campo Mourão,715418.0,715119.0,..,..,5121232.0
80,Araruna,45796.0,45796.0,..,..,312364.0
81,Barbosa Ferraz,27612.0,27612.0,..,..,208407.0
82,Campo Mourão,90948.0,90798.0,..,..,690003.0
83,Corumbataí do Sul,6377.0,6377.0,..,..,38807.0
84,Engenheiro Beltrão,71415.0,71415.0,..,..,447760.0
85,Farol,32880.0,32831.0,..,..,260197.0
86,Fênix,29696.0,29696.0,..,..,223347.0
87,Iretama,22076.0,22076.0,..,..,153276.0
88,Luiziana,96143.0,96143.0,..,..,716853.0
89,Mamborê,105153.0,105153.0,..,..,792253.0
90,Peabiru,56647.0,56647.0,..,..,394974.0
91,Quinta do Sol,42438.0,42338.0,..,..,275319.0
92,Roncador,59980.0,59980.0,..,..,472716.0
93,Terra Boa,28257.0,28257.0,..,..,134955.0
94,Norte Central Paranaense,1969687.0,1917295.0,..,..,12505663.0
95,Astorga,378801.0,359744.0,..,..,2191816.0
96,Ângulo,13482.0,12858.0,..,..,72751.0
97,Astorga,48918.0,44168.0,..,..,253091.0
98,Atalaia,14846.0,13256.0,..,..,66050.0
99,Cafeara,10613.0,9753.0,..,..,67574.0
100,Centenário do Sul,29151.0,26001.0,..,..,174792.0
101,Colorado,19855.0,19855.0,..,..,155768.0
102,Flórida,8067.0,8055.0,..,..,46849.0
103,Guaraci,11232.0,9982.0,..,..,68824.0
104,Iguaraçu,19049.0,18509.0,..,..,94178.0
105,Itaguajé,6632.0,6318.0,..,..,43502.0
106,Jaguapitã,30487.0,28387.0,..,..,190931.0
107,Lobato,20222.0,19707.0,..,..,117694.0
108,Lupionópolis,11482.0,9982.0,..,..,60017.0
109,Mandaguaçu,30140.0,29759.0,..,..,171877.0
110,Munhoz de Melo,14468.0,14438.0,..,..,70008.0
111,Nossa Senhora das Graças,10786.0,10586.0,..,..,74773.0
112,Nova Esperança,17877.0,17527.0,..,..,89975.0
113,Presidente Castelo Branco,8427.0,8427.0,..,..,46049.0
114,Santa Fé,21035.0,20935.0,..,..,114232.0
115,Santa Inês,5844.0,5844.0,..,..,36371.0
116,Santo Inácio,17791.0,17433.0,..,..,135591.0
117,Uniflor,8397.0,7964.0,..,..,40925.0
118,Porecatu,247768.0,232953.0,..,..,1311646.0
119,Alvorada do Sul,46436.0,41056.0,..,..,204283.0
120,Bela Vista do Paraíso,34157.0,32157.0,..,..,173060.0
121,Florestópolis,20116.0,19046.0,..,..,126550.0
122,Miraselva,3542.0,3492.0,..,..,28074.0
123,Porecatu,18084.0,17619.0,..,..,129577.0
124,Prado Ferreira,19587.0,18737.0,..,..,112633.0
125,Primeiro de Maio,46564.0,43064.0,..,..,221906.0
126,Sertanópolis,59282.0,57782.0,..,..,315562.0
127,Floraí,201522.0,200064.0,..,..,1319536.0
128,Doutor Camargo,19009.0,18721.0,..,..,126736.0
129,Floraí,26036.0,25936.0,..,..,144599.0
130,Floresta,25496.0,25266.0,..,..,165145.0
131,Itambé,35759.0,34989.0,..,..,207223.0
132,Ivatuba,16340.0,16270.0,..,..,110375.0
133,Ourizona,26580.0,26580.0,..,..,178719.0
134,São Jorge do Ivaí,52302.0,52302.0,..,..,386738.0
135,Maringá,152446.0,149745.0,..,..,943492.0
136,Mandaguari,13689.0,13599.0,..,..,92346.0
137,Marialva,53857.0,52865.0,..,..,318087.0
138,Maringá,49767.0,49667.0,..,..,306439.0
139,Paiçandu,22729.0,21260.0,..,..,134319.0
140,Sarandi,12404.0,12354.0,..,..,92300.0
141,Apucarana,193554.0,191683.0,..,..,1442456.0
142,Apucarana,40265.0,40165.0,..,..,303308.0
143,Arapongas,36944.0,36194.0,..,..,259447.0
144,Califórnia,13720.0,13720.0,..,..,102073.0
145,Cambira,15288.0,15287.0,..,..,105355.0
